building,street,landmark,locality,vtc,district,state
#14,barline masjid compound,,mysore road,Bangalore North,Bangalore,Karnataka
"#29/5, 1ST FLOOR","M S LANE,",,"NARAYANASHETTY LANE, J M ROAD CROSS",,Bangalore,Karnataka
# 7 1st Floor,Nagrath pet Cross,,Maldar pet,Bangalore North,Bangalore,Karnataka
# 8/1,1ST CROSS,,KALASIPALYAM,,Bangalore,Karnataka
#90/B,"4th Floor, 18th Cross",,Cubbonpete,Bangalore North,Bangalore,Karnataka
"#47, 1st Floor",Chikkannamma Temple Street,Joripete,Srirampuram,Bangalore North,Bangalore,Karnataka
# 388/1,,Opp. Ayisha Masjid,Mangammana palya,Bangalore North,Bangalore,Karnataka
# 17,2ND CROSS,,POTERS COLONY,,Bangalore,Karnataka
# 74,STORE STREET M R R LANE,,KALASIPALYA,,Bangalore,Karnataka
#35,Annamma Tempele Road,Cubbon Pete,Cubbon Pete Jori Pete,Bangalore City,Bangalore,Karnataka
#dasappa maternity home Qutrs,B B M P S J P Road,,J C Road,Bangalore City,Bangalore,Karnataka
#33,Cubbonpet Main Road,Opp 10th Cross,Cubbonpet,Bangalore North,Bangalore,Karnataka
# 26,,,C STREET FORT,,Bangalore,Karnataka
# 6/7,MUDILYAR GARDEN,,KALASIPALYAM,,Bangalore,Karnataka
#08 muni ramappa compund,geddala halli,Near anjaneya temple,sanjay nagar,Bangalore City,Bangalore,Karnataka
# 3,GANIGARA D LANE,,NAGARATH PET,,Bangalore,Karnataka
NO 11/2,RAMASWAMY SETTY LANE  M M LANE,,GANIGAR PET NAGARATH PET CROSS,Bangalore North,Bangalore,Karnataka
NO 11/2,RAMASWAMY SETTY LANE  M M LANE,,GANIGAR PET NAGARATH PET CROSS,Bangalore South,Bangalore,Karnataka
# 92/1,THIMMAIH ROAD CROSS,,KALASIPALYA,,Bangalore,Karnataka
#16,21st Cross,Near S B M,Cubbonpet,BANGALORE CENTRAL,Bangalore,Karnataka
#20/2,11th Cross,Adjus cent to K G Road,Cubbon pet,Bangalore North,Bangalore,Karnataka
#25,Yallappa Garden,,J C Road,Bangalore North,Bangalore,Karnataka
"#15, 4th Floor",15 munoth Mansion 18th Cross,,Cubbonpet,,Bangalore,Karnataka
"#15, 4th Floor","15 Munot Mansion, 18th Cross",,Cubbonpet,,Bangalore,Karnataka
#18,J C Road,,Thayappa Layout,Bangalore North,Bangalore,Karnataka
#1392,"4th Cross,",,"Gandhi Nagar, K G Halli",,Bangalore,Karnataka
#118,Anjaneya Temple Street,Cobban pet Market,Maruthi nagar yelahanka,Bangalore North,Bangalore,Karnataka
NO 72,,,APPAJAPPA GARDEN KALASI PALYA,,Bangalore,Karnataka
#18,J C Road,,Thayappa Layout,Bangalore North,Bangalore,Karnataka
#20/1,"11TH CROSS, CUBBON PET",,CUBBON PET,Bangalore North,Bangalore,Karnataka
#120,1st Main 3rd Cross,,Agrahara Layout,,Bangalore,Karnataka
"15/4, 5, K Malaji","1st Main, 4th Cross, Karagappa Garden",,S R Nagar,,Bangalore,Karnataka
#4,Narayana swamy Garden,,J C Road,Bangalore North,Bangalore,Karnataka
#No-3,Gollar Ganganna Lane,,Nagarth Pet cross,,Bangalore,Karnataka
,,NULL,Dharmaraya swamy temple street,Bangalore North,Bangalore,Karnataka
# 6,KOTE B ROAD,,KALASIPALYAM,,Bangalore,Karnataka
#1/1,12th cross,,Cubbon pet,Bangalore North,Bangalore,Karnataka
# 27/8,MUNESHWARA MUTT,,KALASIPALYAM,Bangalore North,Bangalore,Karnataka
# 27/8,MUNESHWARA MUTT,,KALASIPALYAM,Bangalore North,Bangalore,Karnataka
# 136,,NEAR BASAPPA CIRCLE,KALASIPALYAM  SHAMBU PALYA,Bangalore North,Bangalore,Karnataka
#16/1,9th Cross,,Cubbonpet,,Bangalore,Karnataka
#91,pailwan T Annaiappa Main Road,,Tigalar Pet,Bangalore North,Bangalore,Karnataka
#54 1st Floor,3rd Cross,,Cubbonpet,Bangalore North,Bangalore,Karnataka
#28 1st Floor,1st Cross,,Cabban Pete Main Road,,Bangalore,Karnataka
# 179/3,S P ROAD D R LANE,,,Bangalore North,Bangalore,Karnataka
# 38-1,MYSORE ROAD,NEAR VETORNARY HOSPITAL,NIZAMUDDIN MOHALLA,Bangalore North,Bangalore,Karnataka
"#56,Rahamaj Bi Poor",,Basappa Circle,kalasipalyam,Bangalore North,Bangalore,Karnataka
#134,Basappa Circle,,Shambhu palya,Bangalore North,Bangalore,Karnataka
"#6/1 1st Floor,","S.P Road Cross,D.M.Lane,",,Thiglarpet,Bangalore North,Bangalore,Karnataka
#7,Durgamma Temple Street,,Kalasipalyam,Bangalore North,Bangalore,Karnataka
#27,"9th Cross, 4th Main Road",,S R Nagar,,Bangalore,Karnataka
42,Cubbon Pet Main Road,,Cubbon Pet,,Bangalore,Karnataka
#153/C,RAILWAY QUARTERS,RAILWAY COLONY,VONTIKOPPAL,,Bangalore,Karnataka
#54,Chowlgally,Corporastion,Chamraj pet,Bangalore North,Bangalore,Karnataka
# 35 Ward 77,Sampangiramnagar,,K S Garden,Bangalore North,Bangalore,Karnataka
#65,2nd Cross,,Bhovi Colony,Bangalore North,Bangalore,Karnataka
#2,11th Cross,,Cubbonpet,Bangalore North,Bangalore,Karnataka
#2/1,"Krishna Singh Lane, Sita Ramamandira Cross",,Sunkalpet Main Road,,Bangalore,Karnataka
#4,3rd Cross P V N Lane,,Nagarathpet,,Bangalore,Karnataka
#21,Muniswamappa Lane,Behind Dharmaraya Swamy Temple,,Bangalore North,Bangalore,Karnataka
# 27/15,A V ROAD,,MARISWAMI MATA KALASIPALYAM,Bangalore North,Bangalore,Karnataka
NO 5,2ND CROSS R R LANE,,KALASIPALYAM,Bangalore South,Bangalore,Karnataka
#24,Ellappa Garden J C Road,,Fire Works Colony,Bangalore North,Bangalore,Karnataka
#6,18th Cross,,Cubbonpet,,Bangalore,Karnataka
#7,Store Street Road,Near City Market,Kalasipalya,Bangalore South,Bangalore,Karnataka
44,C Street,Opp. Vanivilas Hospital,"KR Road, Fort",Bangalore North,Bangalore,Karnataka
436,"Avenue Road,",City Market,Kalasi Palya,Bangalore North,Bangalore,Karnataka
#23/1,Anjaneya Temple Street,Near Cubbon Pet Market,"Lingashetty Pet,",Bangalore South,Bangalore,Karnataka
#2304,"G Floor, 9th Main","D Block, 2nd Stage",Rajaji Nagar,Bangalore North,Bangalore,Karnataka
#21/1,Fornt F Street Dispensory Road,,Kalasipalya,Bangalore North,Bangalore,Karnataka
#22/1,Sanjeeva Naik Lane,Avenue Road Cross,Cubbonpet,Bangalore North,Bangalore,Karnataka
"#300/1, Savanda Marcket",Ground Floor,Avenue Road Cross,Old Taragpet,Bangalore North,Bangalore,Karnataka
,,,,,Bangalore,Karnataka
02-Mar,,masthan sab lane,nagar peth ka station,Bangalore North,Bangalore,Karnataka
#35,Annamma Tempele Road,Cubbon Pete,Cubbon Pete Jori Pete,Bangalore City,Bangalore,Karnataka
#33 - 3,Mavalli Tank Band Road,,Kalasipalya,Bangalore North,Bangalore,Karnataka
#85,27th Cross,Anjaneya Gudi Road,Kabban Pete,Bangalore North,Bangalore,Karnataka
,,20-Feb,,Bangalore North,Bangalore,Karnataka
,,,,Bangalore North,Bangalore,Karnataka
22/53,Ramayya Street,,Cotton Pet,Bangalore North,Bangalore,Karnataka
#22/1,"1st Cross, Fort Street",,Medical College East,Bangalore South,Bangalore,Karnataka
#33,"Cubbonpet Main Road, 10th Cross Opp Building",Ganesha Temple,Cubbonpet,Bangalore South,Bangalore,Karnataka
#72 2nd Floor,Avenue Road,opp Union bank of india,,,Bangalore,Karnataka
#9/3,"1st Cross, Artillary Road",,"Gowthampur, Ulsoor",Bangalore South,Bangalore,Karnataka
,,,Cubbon pet,,Bangalore,Karnataka
#66,Kumbar pet Main Road,,NULL,Bangalore South,Bangalore,Karnataka
# 43,Jumma Masjid Road,Mohammed Sabh Lane,NULL,Bangalore South,Bangalore,Karnataka
#5,P M Lane S P Road Cross,Biehind Karthik Plaza,NULL,Bangalore South,Bangalore,Karnataka
#41,J M Road Cross,,NULL,BANGALORE CENTRAL,Bangalore,Karnataka
"# 22,Shiv Shakti, 2nd Floor",Sanjeevappa lane,24th Cross,NULL,Bangalore North,Bangalore,Karnataka
"# 22,Shiv Shakti, 2nd Floor",Sanjeevappa Lane,24th Cross,NULL,Bangalore North,Bangalore,Karnataka
#41,J M Road Cross,,NULL,BANGALORE CENTRAL,Bangalore,Karnataka
# 6/7,CHINNASWAMY MUDILYAR GARDEN,,NULL,,Bangalore,Karnataka
#321,8th Cross,,NULL,Bangalore North,Bangalore,Karnataka
#111 3rd Floor,sadar patrappa road,Near Dharmaraja Temple,NULL,Bangalore North,Bangalore,Karnataka
#111 3rd,,,NULL,Bangalore North,Bangalore,Karnataka
#10,Avenue Road Cross,,NULL,Bangalore North,Bangalore,Karnataka
#15/1,Dispensary Road,Opp D D P I Office,NULL,Bangalore North,Bangalore,Karnataka
NO-124 V R G MARKET,O K ROAD,,NULL,Bangalore North,Bangalore,Karnataka
NO 21,8TH CROSS,,NULL,Bangalore North,Bangalore,Karnataka
"#7/1,3RD FLOOR",G G LANE,NEELADRI LODGE,NULL,Bangalore North,Bangalore,Karnataka
NO 5 (OLD NO 8),4TH CROSS,,NULL,Bangalore North,Bangalore,Karnataka
43/1,"M T B ROAD, JOURNALIST COLONY",,NULL,Bangalore North,Bangalore,Karnataka
NO.40 1ST FLOOR,MALLIKARJUNAPPA LANE,,NULL,Bangalore North,Bangalore,Karnataka
NO.40 1ST FLOOR,MALLIKARJUNAPPA LANE,,NULL,Bangalore North,Bangalore,Karnataka
NO.40 1ST FLOOR,MALLIKARJUNAPPA LANE,,NULL,Bangalore North,Bangalore,Karnataka
NO.40 1ST FLOOR,MALLIKARJUNAPPA LANE,,NULL,Bangalore North,Bangalore,Karnataka
No 5,C Block,,NULL,Bangalore North,Bangalore,Karnataka
#15,D S Lane S P Road,,NULL,Bangalore North,Bangalore,Karnataka
No.8/2,Fort 'C' Street,Near Sharma Transport,NULL,Bangalore North,Bangalore,Karnataka
No.8/2,Fort 'C' Street,Near Sharma Transport,NULL,Bangalore North,Bangalore,Karnataka
No.8/2,Fort 'C' Street,Near Sharma Transport,NULL,Bangalore North,Bangalore,Karnataka
"111, 3rd Floor",S P Road,Near Sree Dharmarayaswamy Temple,NULL,Bangalore North,Bangalore,Karnataka
"No.63, 3rd Floor,","Nagarathpet Main Road,",,NULL,Bangalore North,Bangalore,Karnataka
No.82,S P Road,Ngm Plaza,NULL,Bangalore North,Bangalore,Karnataka
No 1106,O T C Road,"Opp , Carporetion",NULL,Bangalore North,Bangalore,Karnataka
"No 7,3rd Floor","S P Road,3rd Cross",Opposite C M A Boys Hostel,NULL,Bangalore North,Bangalore,Karnataka
"No 903/1,2nd Floor","Ranka Chambers, M B T Street",Ooposite Jain Temple,NULL,Bangalore North,Bangalore,Karnataka
"No 16 ,",Krishna Singh Lane,"Sitaram Mandir Road,",NULL,Bangalore North,Bangalore,Karnataka
No 17/1 1st Floor,29th Cross Old Chamrajpet,Opposite P V Marketing,NULL,Bangalore North,Bangalore,Karnataka
Raju Nilaya No 10/1,13th Cross,Near Basket Ball Ground,NULL,Bangalore North,Bangalore,Karnataka
Raju Nilaya No 10/1,13th Cross,Near Basket Ball Ground,NULL,Bangalore North,Bangalore,Karnataka
Raju Nilaya No 10/1,13th Cross,Near Basket Ball Ground,NULL,Bangalore North,Bangalore,Karnataka
No 4/1,Crescent Road,High Grounds,NULL,Bangalore North,Bangalore,Karnataka
"No.24, 2nd Floor",B S Market,,NULL,Bangalore North,Bangalore,Karnataka
No 20/28,A M Lane,,NULL,Bangalore North,Bangalore,Karnataka
No.4/1,Crescent Road,Opposite Golf Course,NULL,Bangalore North,Bangalore,Karnataka
Door No-10/1,"7th Cross, Kuber Sing Lane",Lal Bagh Fort Road,NULL,Bangalore North,Bangalore,Karnataka
#19,"Nizamuddin Mohalla,2nd Cross, Baba Line",,NULL,Bangalore South,Bangalore,Karnataka
# 8/38 New No 8/2,C Street,,NULL,Bangalore North,Bangalore,Karnataka
# 8/38 New No.8/2,C Street,,NULL,Bangalore North,Bangalore,Karnataka
,,,,,,
"#13/1, 2nd Floor",A Street,Near Quba MAsjid,NULL,Bangalore North,Bangalore,Karnataka
#241,M T B Road,Kalasipalya,NULL,Bangalore North,Bangalore,Karnataka
"#96/2,","M M Lane,J M Road Cross,",,NULL,Bangalore North,Bangalore,Karnataka
"No 11 , 3rd Floor",Chowlu Galli,Cubbonpet,NULL,Bangalore North,Bangalore,Karnataka
"No 11 , 3rd Floor",Chowlu Galli,Cubbonpet,NULL,Bangalore North,Bangalore,Karnataka
"No 11 , 3rd Floor",Chowlu Galli,Cubbonpet,NULL,Bangalore North,Bangalore,Karnataka
"No 2 , 3rd Floor",Chowlu Galli,Cubbonpet,NULL,Bangalore North,Bangalore,Karnataka
"No 11 , 3rd Floor",Chowlu Galli,Cubbonpet,NULL,Bangalore North,Bangalore,Karnataka
Flat No. 2   B/5,12th Main   Padmanabha Nagar,Kalpatharu Villa,NULL,Bangalore North,Bangalore,Karnataka
#20,Gangamma Temple Street,,NULL,Bangalore North,Bangalore,Karnataka
# 33 Sri Lakshmi Complex 5th Floor,Appaji Rao Lane C T Street Cross,,NULL,Bangalore North,Bangalore,Karnataka
#53,"A J garden, M T B Road",Near Charch,NULL,Bangalore North,Bangalore,Karnataka
#37,Rajagopala garden,Near subramanya Temple,NULL,Bangalore North,Bangalore,Karnataka
#06/3,Chowlugalli Sunkalpet Cross,,NULL,Bangalore North,Bangalore,Karnataka
No 6/1,Fire Works Colony 1st Cross,,NULL,Bangalore North,Bangalore,Karnataka
No 6/1,Fire Works Colony 1st Cross,,NULL,Bangalore North,Bangalore,Karnataka
"NO, 145",BETWEEN 8TH AND 9TH CROSS,,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
"NO, 43/2","15TH CROSS, MARUTHI EXTN",NEAR VYALIKAVAL CIRCLE,PALACE GUTTAHALLI,Bangalore North,Bangalore,Karnataka
"NO, 43/2","15TH CROSS, MARUTHI EXTN",NEAR VYALIKAVAL CIRCLE,PALACE GUTTAHALLI,Bangalore North,Bangalore,Karnataka
"NO, 151, GFS, ABHIJITH APARTMENTS","7TH MAIN, 11TH CROSS",,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
"NO. 103, SANGEETHA APARTMENTS","B BLOCK, 5TH CROSS",,MALLESWARAM,Bangalore North,Bangalore,Karnataka
NO. 41/2,6TH TEMPLE STREET,,MALLESWARAM,Bangalore North,Bangalore,Karnataka
NO.U 50,"TEMPLE STREET,PIPELINE",PIPELINE,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
"NO, 32/3,","8TH CROSS, 7TH MAIN",KADU MALLESHWARAM,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
"NO. 15, SRI LAKSHMI NIVASA",6TH MAIN ROAD,,PALACE GUTTAHALLI,Bangalore North,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
"NO, 32/3","8TH CROSS, 7TH MAIN",KADU MALLESHWARAM,MALLESHWARAM,Bangalore North,Bangalore,Karnataka
NO. 231/B,12TH A CROSS,,"VYALIKAVAL, MALLESWARAM",Bangalore North,Bangalore,Karnataka
"NO, 18/3",4TH MAIN,BETWEEN 7TH AND 8TH CROSS,MALLESWARAM,Bangalore North,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
# 22,"D STREET, JAYARAJ NAGAR",,ULSOOR,,Bangalore,Karnataka
# 69,4TH CROSS,POLICE STATION,MALLESWARAM,,Bangalore,Karnataka
#91/1,East Park Road,Opposite Ram Mandir,Malleshwaram Bangalore,Bangalore North,Bangalore,Karnataka
"#35,A-15A,Tripura Nest  Apartment","11th Cross,6th Main",Opp Shama Rao Vittal Bank,Malleswaram,,Bangalore,Karnataka
Old No 241 New No 62,12th A Cross,,Vyalikaval,,Bangalore,Karnataka
FLAT NO 201,SANKY ROAD,NEAR SADASHIVA NAGAR BHASYAM CIRCLE,SADASHIVANAGAR,,Bangalore,Karnataka
# 18/45 Vishal Apartment,11th Cross 5th Main,,Malleswaram,,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
113/17,1ST MAIN 16TH CROSS,CHOUDAIAH MEMORIAL HALL,GAYATHRI DEVI PARK EXTEN VYALI KAVAL,,Bangalore,Karnataka
"#old No 59, New No 40",12th A Cross,,vyalikaval,Bangalore North,Bangalore,Karnataka
Flat No 1 Mallege Apartment,11th Cross 4th Main,Near Venu gopalaSwamy Temple,Malleshwaram,Bangalore North,Bangalore,Karnataka
#66-5-15,,,Ashoka nagar,Bangalore North,Bangalore,Karnataka
No 10/7,10th Cross Pipe Line Road,Near L V Lab,Malleswaram,,Bangalore,Karnataka
NO. 12,"1ST TEMPLE STREET, 8TH CROSS",,MALLESWARAM,Bangalore North,Bangalore,Karnataka
,,"#6, 1st Main Road,",Palace Guttahalli,,Bangalore,Karnataka
#40/2,14th Cross,,S P Extension Malleshwaram,Bangalore North,Bangalore,Karnataka
,,"#12, 3rd Cross,Muniveerappa Block",Palace Guttahalli,,Bangalore,Karnataka
"#14, Ground Floor, Vruksha Apartments",16th Cross,Near Adigas,Malleshwaram,Bangalore North,Bangalore,Karnataka
No 2,Dattatreya Temple  Campus Pipe Line,,Malleswaram,,Bangalore,Karnataka
,,"#6, 5th Main Road",Palace Guttahalli,,Bangalore,Karnataka
,,"#34, Dodda Byarappa Street",Palace Guttahalli,,Bangalore,Karnataka
"#38/2,1st Floor","17th A Cross, Ranganathapuram",Near Sidda Ashrama,Malleshwaram,Bangalore North,Bangalore,Karnataka
#32,6th main road,,malleshwaram,Bangalore North,Bangalore,Karnataka
# 7,N.T.I.STAFF QTRS,,Palace Guttahalli,,Bangalore,Karnataka
,,"#69, 3rd  Main Road","Muneshwara Block , Palace Guttahalli",,Bangalore,Karnataka
No 71,2nd Main Road,Opposite to Bilva Hospital,Malleswaram,,Bangalore,Karnataka
"#39, Shreeshaila Krupa,1st Floor","4th Temple Street,15th Cross",,Malleshwaram,Bangalore North,Bangalore,Karnataka
# 31,"4TH CROSS, D MAIN ROAD, MUNESHWARA BLOCK",,P G HALLI,Bangalore North,Bangalore,Karnataka
,,"#44, 3rd Cross, 10th Main Road, M V Block",Palace Guttahalli,,Bangalore,Karnataka
# 8/77,4TH CROSS SUDHEENDRA NAGARA  KODANDARAMA PURA,DHATTATRAYA TEMPLE,MALLESHWARAM,,Bangalore,Karnataka
No 976,3rd Cross lane,Behind K C General Hospital,Malleswaram,,Bangalore,Karnataka
# 37,"2ND CROSS, EAST LINE ROAD",,MALLESWARAM,Bangalore North,Bangalore,Karnataka
No 9-17,7th Cross Sudheendra Nagar Swimming Pool Extension,Opposite to Dattatreya Temple,Malleswaram,,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
# 7,N.T.I.STAFF QTRS,,Palace Guttahalli,,Bangalore,Karnataka
#301 Regalia Apts,6th Main 15th Cross,Near M E S College,Malleswaram,Bangalore North,Bangalore,Karnataka
No. 142/1-1,Coconut Avenue Road,Between 7th and 8th Cross,Malleshwaram,,Bangalore,Karnataka
NO. 22/1,"4TH CROSS, 4TH MAIN",,M.D. BLOCK,Bangalore North,Bangalore,Karnataka
"#43/1,1st Floor , Nandini Krupa",3rd Temple Road,Near Corporation School,Malleshwaram,,Bangalore,Karnataka
,,,NULL,Bangalore North,Bangalore,Karnataka
# 23/4,"11TH CROSS, S.P. EXTN",BEHIND COFFEE DAY,SUNDHEENDRA NAGAR,,Bangalore,Karnataka
"# 15, 2ND FLOOR",1ST MAIN ROAD,,P G HALLI,Bangalore North,Bangalore,Karnataka
NO 10,Nagappa Street 3rd Cross,Muneshwara Temple Block,Palace Guttahalli,,Bangalore,Karnataka
"No. 87, Sri Nanjundeshwara Building",11th Cross,,Malleshwaram,,Bangalore,Karnataka
No. 8,8th Cross,Behind Chandus Hotel,Malleshwaram,,Bangalore,Karnataka
# 36,3rd Cross,Near Hallimane Hotel,Malleshwaram,Bangalore North,Bangalore,Karnataka
"#39, 1st Floor, Shreeshaila Krupa",4th Temple Street,,Malleshwaram,Bangalore North,Bangalore,Karnataka
#25/14,13th Main 15th And 16th Cross,,Malleswaram,Bangalore North,Bangalore,Karnataka
No KT 39 Leela Nivas Flat No 101,15th Cross 4th Main Road,,Malleswaram,,Bangalore,Karnataka
"NO. 301, 3RD FLOOR, SOUNDARYA PRIDE",7TH CROSS,,MALLESWARAM,Bangalore North,Bangalore,Karnataka
#9,G MAIN ROAD 4TH CROSS,,MALLESWARAM,,Bangalore,Karnataka
"NO. 301, 22/19, 3RD FLOOR, SOUNDARYA PRIDE",,,NULL,Bangalore North,Bangalore,Karnataka
,,"#13/2, SRS Nilaya, 4th Cross, Vasanthappa Block,",palace guttahalli,,Bangalore,Karnataka
#26 palace guttahalli,10th main road,near vayali kaval police station,a k colony,,Bangalore,Karnataka
No 10,Nagappa Street 3rd Cross,Muneshwara Temple Block,Palace Guttahalli,,Bangalore,Karnataka
"#55, Abhijit Apartments","7th Main, 11th Cross",,Malleswaram,,Bangalore,Karnataka
,,#55 Abhijith Apts,"7tn Main 11th cross ,Malleswaram",,Bangalore,Karnataka
,,"#2, 1st Main Road",Vyalikaval,,Bangalore,Karnataka
No 13/2 Old No 5,"2nd Cross,",Akshya Complex,Munishwara Block Palace Guttahalli,Bangalore North,Bangalore,Karnataka
No A/3 Bhavani Nivas,H N Layout 10th Cross Swimming Pool Extension,Opposite Ganga Bharathi Service Station,Malleswaram,,Bangalore,Karnataka
#59,17th Cross,6th Main Corner,Malleshwaram,,Bangalore,Karnataka
,,B-2 Maitree Apts,6th Main 15th Cross Malleswaram,,Bangalore,Karnataka
#25/1,16th Cross,,Malleswaram,,Bangalore,Karnataka
,,"#34, 1st Floor, 3rd Main Road",Palace Guttahalli,,Bangalore,Karnataka
# 317,15 TH CROSS,KAADU MALLESHWARA TEMPLE,SAMPIGE ROAD,,Bangalore,Karnataka
,,#23 West Link Road,"4th Cross , Malleshwaram",,Bangalore,Karnataka
,,B-3-28 Anandashram Buildings,"10 th Main , 13th cross , Malleswaram",,Bangalore,Karnataka
,,"#172/ A , 3rd Main Road",palace Guttahalli,,Bangalore,Karnataka
"#3594, 35/1",8th Cross New 2nd Cross,Near kodhanadaramamandira,Gayathri Nagar,,Bangalore,Karnataka
,,#30 pavan,13th Cross Malleswaram,,Bangalore,Karnataka
,,"#29 , 1st Cross","V R Puram , Palace Guttahalli",,Bangalore,Karnataka
,,#77/8 2nd Main,"Vyalikaval Road ,Malleswaram",,Bangalore,Karnataka
,,"#308 ,Haritha Apts,","112/ ,11 Th Cross Malleswaram",,Bangalore,Karnataka
#Flat No.404. Amity Palace,"9th Cross, Divanara Palya","Gokula, 1st Stage",,,Bangalore,Karnataka
,,#46/1  West Park Road,Malleswaram,,Bangalore,Karnataka
,,"#11, 4th Floor , 5th Temple Street","5th Cross , Malleswaram",,Bangalore,Karnataka
,,"#21/1 1st Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#16, 5th Main Road",Palace Guttahalli,,Bangalore,Karnataka
,,"#1, Snehalaya 3rd Cross, Muneshwara Block,",Palace Guttahalli,,Bangalore,Karnataka
,,"#14, C K Street",Palace Guttahalli,,Bangalore,Karnataka
,,"#11/1 , 2nd Floor , 3rd Cross","Nagappa Street , Palace Guttahalli",,Bangalore,Karnataka
,,"#1, 1st Cross, Nagappa Street",Palace Guttahalli,,Bangalore,Karnataka
#132,Margosa Road,Side of Leela Hospital,Malleshwaram,Bangalore North,Bangalore,Karnataka
,,"#13, '' E '' Main , 4th Cross","Muneshwara Block , Palace Guttahalli",,Bangalore,Karnataka
,,"#10/2 , 2nd Cross , Kempanna Layout",Palace Guttahalli,,Bangalore,Karnataka
,,#54,"7th Main, Mosque Road",,Bangalore,Karnataka
,,"#157,1st Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#46, 8th Block, N T I Staff Qtrs",Palace Guttahalli,,Bangalore,Karnataka
,,"#409, 3rd Cross, V R Puram",Palace Guttahalli,,Bangalore,Karnataka
,,"#40 , 3rd Cross , M D Block,",Palace Guttahalli,,Bangalore,Karnataka
#2,2ND CROSS,,M D BLOCK,,Bangalore,Karnataka
,,"#C-9, Chenna Krishnappa Street",Malleswaram,,Bangalore,Karnataka
,,"#105,Haritha Apts, 11th Cross,5th Main",Malleswaram,,Bangalore,Karnataka
No W-72,3rd Cross Pipe Line,,Malleswaram,Bangalore North,Bangalore,Karnataka
,,"#3, 2nd Cross, 1st Floor, Out House","M D Block, Malleswaram",,Bangalore,Karnataka
#17/1,"7th Cross, Lower Palace orchid",,Sadashiva nagar,,Bangalore,Karnataka
,,"#369, 5th Cross, V R Puram",V V Giri Colony,,Bangalore,Karnataka
,,"#1, 12th Cross, Swimming Pool Ext",Malleswaram,,Bangalore,Karnataka
,,NULL,Palace Guttahalli,,Bangalore,Karnataka
#4,"13th B main, 18th cross",,malleshwaram,,Bangalore,Karnataka
"#153/2,Flat No.103,Prajwal Mansion","7th Main,9th Cross",Near Indira clinic,Malleswaram,Bangalore North,Bangalore,Karnataka
#10/1 S-2 panchajanya apartment,13th cross 8th main,,4th cross M T Layout,bangalore,Bangalore,Karnataka
,,"#478, 4th Cross, Muneshwara Block",Palace Guttahalli,,Bangalore,Karnataka
#3,9TH CROSS,,"SWIMMING POOL EXTN, MALLESWARAM",,Bangalore,Karnataka
